Transaction ID,Transaction Date,Product Type,SKU,Price,Availability,Number of Products Sold,Revenue Generated,Stock Levels,Lead Times,Order Quantities,Shipping Times,Shipping Carriers,Shipping Costs,Supplier Name,Location,Lead Time,Production Volumes,Manufacturing Lead Time,Manufacturing Costs,Inspection Results,Defect Rates,Transportation Modes,Routes,Total Logistics Cost
TXN01789,2022-01-05,cosmetics,SKU17,75.68,43,221,14835.23,54,13,71,2,Carrier A,4.72,Supplier 1,Chennai,15,569,12,45.89,Pass,0.0953,Air,Route C,3593.31
TXN02837,2022-01-05,cosmetics,SKU44,53.8,75,103,6237.31,75,24,22,2,Carrier A,3.36,Supplier 2,Delhi,23,899,16,21.57,Pending,2.0611,Rail,Route A,548.46
TXN01669,2022-01-05,haircare,SKU2,11.07,97,125,1576.14,116,22,38,2,Carrier C,0.56,Supplier 1,Mumbai,22,673,19,29.34,Pass,1.6224,Air,Route C,1136.2
TXN03982,2022-01-05,skincare,SKU19,48.82,66,156,7267.14,85,17,31,3,Carrier B,2.57,Supplier 4,Chennai,18,356,22,78.11,Fail,7.3042,Road,Route C,2501.08
TXN09896,2022-01-05,cosmetics,SKU49,81.2,33,145,10119.81,35,44,53,5,Carrier B,3.6,Supplier 5,Delhi,45,72,48,14.59,Fail,6.9253,Rail,Route A,964.07
TXN08584,2022-01-05,cosmetics,SKU62,68.57,69,202,14423.16,82,13,57,2,Carrier C,4.63,Supplier 2,Mumbai,15,553,14,22.01,Pass,0.9858,Sea,Route C,1518.48
TXN06188,2022-01-05,skincare,SKU14,100.57,53,124,12250.62,57,10,44,2,Carrier A,6.82,Supplier 1,Kolkata,11,193,11,6.12,Pass,0.0456,Air,Route B,569.36
TXN06130,2022-01-05,skincare,SKU67,94.46,65,117,12337.38,89,10,40,3,Carrier B,4.02,Supplier 1,Mumbai,11,579,9,7.18,Pass,0.0936,Sea,Route C,448.0
TXN02967,2022-01-05,skincare,SKU40,75.2,90,194,14238.06,95,1,65,4,Carrier B,2.87,Supplier 1,Kolkata,1,435,1,87.81,Pass,1.6452,Road,Route A,5894.2
TXN01665,2022-01-05,haircare,SKU61,53.25,100,97,5149.25,97,18,56,2,Carrier A,3.08,Supplier 4,Kolkata,18,563,15,83.05,Fail,8.3078,Air,Route A,4823.28
TXN04168,2022-01-06,cosmetics,SKU88,79.35,62,134,9373.27,85,9,14,4,Carrier B,3.48,Supplier 2,Mumbai,10,605,12,67.15,Pass,0.4611,Sea,Route A,988.82
TXN08367,2022-01-06,skincare,SKU10,14.59,12,226,3550.25,15,6,73,3,Carrier C,0.95,Supplier 5,Kolkata,6,225,8,101.64,Fail,4.9546,Road,Route B,7489.07
TXN08403,2022-01-06,cosmetics,SKU92,47.81,77,146,7068.07,102,21,51,2,Carrier A,2.31,Supplier 2,Mumbai,23,1,30,60.38,Pass,0.4596,Rail,Route B,3197.19
TXN01844,2022-01-06,haircare,SKU74,2.99,65,156,439.81,71,13,90,2,Carrier A,0.2,Supplier 4,Delhi,13,120,10,83.34,Pass,0.7412,Rail,Route A,7518.6
TXN04990,2022-01-06,skincare,SKU4,4.6,45,186,754.98,51,2,59,5,Carrier B,0.22,Supplier 1,Delhi,2,956,2,87.98,Pending,2.2232,Air,Route A,5203.8
TXN06667,2022-01-06,cosmetics,SKU62,71.62,66,187,13680.12,73,11,91,3,Carrier B,3.8,Supplier 2,Mumbai,11,558,13,22.32,Pending,2.1104,Sea,Route C,2376.92
TXN02043,2022-01-06,cosmetics,SKU49,82.57,70,178,14207.18,76,47,43,4,Carrier C,3.11,Supplier 5,Delhi,52,627,48,14.61,Fail,6.2747,Rail,Route A,761.96
TXN07355,2022-01-06,skincare,SKU67,88.45,45,117,11099.66,58,10,86,2,Carrier C,4.18,Supplier 1,Mumbai,10,659,8,7.02,Pass,0.1337,Sea,Route C,963.2
TXN04685,2022-01-06,haircare,SKU76,64.74,36,187,12595.39,45,27,63,3,Carrier C,3.22,Supplier 2,Bangalore,29,296,20,70.05,Pass,1.27,Rail,Route A,4616.01
TXN05784,2022-01-06,cosmetics,SKU50,13.41,54,247,3157.91,51,19,25,2,Carrier A,0.72,Supplier 2,Delhi,19,408,23,46.95,Fail,4.3811,Rail,Route B,1191.75
TXN07766,2022-01-06,cosmetics,SKU8,68.17,53,83,4834.27,72,9,9,4,Carrier B,3.86,Supplier 4,Mumbai,9,288,11,12.22,Fail,5.3979,Sea,Route B,144.72
TXN03738,2022-01-07,haircare,SKU51,28.03,33,123,3120.28,33,35,44,4,Carrier B,1.39,Supplier 5,Bangalore,35,738,43,14.9,Fail,5.1275,Road,Route A,716.76
TXN02825,2022-01-07,cosmetics,SKU62,70.34,65,137,11070.4,81,11,46,4,Carrier B,2.96,Supplier 2,Mumbai,12,811,13,21.5,Pass,1.3222,Sea,Route C,1125.16
TXN07245,2022-01-07,cosmetics,SKU96,24.62,34,140,2956.77,42,36,46,3,Carrier C,1.14,Supplier 3,Mumbai,37,845,30,17.32,Pending,3.5165,Road,Route A,849.16
TXN06374,2022-01-07,cosmetics,SKU23,4.62,89,192,945.29,86,42,66,2,Carrier C,0.24,Supplier 5,Kolkata,46,627,43,96.63,Pass,1.5562,Rail,Route A,6393.42
TXN08560,2022-01-07,cosmetics,SKU17,85.34,32,169,12417.16,39,15,46,2,Carrier C,5.26,Supplier 1,Chennai,16,355,14,45.79,Pass,0.0887,Air,Route C,2348.3
TXN06243,2022-01-07,haircare,SKU87,75.25,37,187,14634.23,50,23,58,4,Carrier B,3.22,Supplier 3,Chennai,22,22,19,29.65,Pending,3.8275,Sea,Route B,1906.46
TXN04265,2022-01-07,cosmetics,SKU7,42.39,91,231,10447.8,88,1,70,2,Carrier A,2.03,Supplier 4,Bangalore,1,684,1,93.77,Pass,0.7868,Road,Route C,6706.0
TXN09616,2022-01-07,cosmetics,SKU8,73.53,81,335,26215.36,90,10,74,2,Carrier A,4.94,Supplier 4,Mumbai,11,393,11,11.08,Pending,2.0949,Sea,Route B,1185.48
TXN06105,2022-01-07,skincare,SKU75,98.72,60,310,29375.43,74,7,42,2,Carrier A,5.57,Supplier 1,Chennai,8,440,8,47.97,Pass,1.7556,Air,Route C,2248.68
TXN09219,2022-01-07,haircare,SKU74,3.02,53,88,226.63,67,12,47,5,Carrier B,0.1,Supplier 4,Delhi,11,431,11,85.77,Pass,0.4307,Rail,Route A,4035.89
TXN04921,2022-01-07,skincare,SKU80,97.52,51,193,19822.8,69,5,89,1,Carrier A,4.74,Supplier 3,Chennai,6,241,5,81.41,Pending,2.5369,Sea,Route B,7667.35
TXN01064,2022-01-07,cosmetics,SKU62,77.22,71,159,11875.17,80,11,69,3,Carrier B,3.82,Supplier 2,Mumbai,11,692,15,20.33,Pass,1.8215,Sea,Route C,1666.35
TXN09332,2022-01-07,cosmetics,SKU28,2.35,39,238,501.77,44,4,34,2,Carrier A,0.16,Supplier 1,Mumbai,5,194,5,56.3,Pass,0.7726,Air,Route A,1919.64
TXN08410,2022-01-07,skincare,SKU69,54.61,57,84,4823.68,58,9,104,2,Carrier A,2.39,Supplier 4,Kolkata,9,775,8,75.67,Pass,1.8415,Air,Route A,8118.24
TXN07099,2022-01-08,haircare,SKU43,11.79,37,330,3871.4,43,40,32,1,Carrier A,0.53,Supplier 5,Mumbai,38,643,36,26.83,Pass,1.0898,Air,Route A,875.52
TXN03851,2022-01-08,cosmetics,SKU35,81.29,64,268,20401.47,61,1,61,4,Carrier B,3.81,Supplier 1,Delhi,1,754,1,60.62,Pass,0.3358,Sea,Route C,3930.23
TXN02020,2022-01-08,haircare,SKU0,69.34,53,161,12026.1,76,35,103,3,Carrier C,3.32,Supplier 3,Mumbai,38,495,34,42.63,Pass,0.2562,Road,Route B,4732.85
TXN04037,2022-01-08,cosmetics,SKU7,44.82,49,22,1119.61,54,1,56,2,Carrier A,2.61,Supplier 4,Bangalore,1,223,1,98.16,Pass,0.8454,Road,Route C,5643.12
TXN06521,2022-01-08,skincare,SKU19,54.61,36,225,11467.35,37,20,16,2,Carrier C,2.7,Supplier 4,Chennai,21,522,23,84.69,Pending,3.5033,Road,Route C,1398.24
TXN06517,2022-01-08,haircare,SKU74,2.95,56,259,726.76,59,10,1,1,Carrier A,0.18,Supplier 4,Delhi,10,252,11,78.0,Pass,0.8897,Rail,Route A,78.18
TXN07266,2022-01-08,skincare,SKU60,17.12,53,52,814.75,50,24,83,2,Carrier A,0.74,Supplier 4,Mumbai,25,487,29,89.83,Pending,2.7477,Rail,Route A,7517.31
TXN04245,2022-01-08,haircare,SKU78,5.82,53,187,1030.23,58,35,46,3,Carrier B,0.25,Supplier 5,Mumbai,34,361,35,66.99,Fail,11.1654,Sea,Route C,3093.04
TXN09483,2022-01-08,cosmetics,SKU7,42.03,82,261,12573.89,82,1,36,3,Carrier C,2.43,Supplier 4,Bangalore,1,470,1,104.62,Pass,0.3762,Road,Route C,3853.8
TXN00590,2022-01-08,skincare,SKU41,102.68,79,74,6685.76,98,6,53,4,Carrier B,3.32,Supplier 4,Chennai,7,499,10,103.83,Pass,0.0588,Sea,Route A,5678.95
TXN05187,2022-01-08,skincare,SKU10,14.63,82,68,851.66,99,7,47,4,Carrier B,0.75,Supplier 5,Kolkata,8,635,8,95.7,Pass,1.9272,Road,Route B,4533.15
TXN08891,2022-01-08,skincare,SKU36,9.19,49,149,1256.56,53,23,54,2,Carrier A,0.73,Supplier 2,Delhi,24,592,18,47.0,Fail,5.6952,Air,Route C,2577.42
TXN04273,2022-01-08,skincare,SKU15,34.25,67,108,3223.26,78,4,44,1,Carrier A,2.24,Supplier 1,Bangalore,5,378,5,93.1,Pass,0.9197,Sea,Route B,4194.96
TXN02192,2022-01-08,haircare,SKU76,63.66,56,47,3384.38,66,29,91,3,Carrier B,3.46,Supplier 2,Bangalore,28,669,20,64.98,Pending,2.3923,Rail,Route A,6228.04
TXN05551,2022-01-08,skincare,SKU10,15.12,71,253,4263.19,81,9,48,4,Carrier B,0.63,Supplier 5,Kolkata,9,548,8,94.26,Pending,2.0402,Road,Route B,4554.72
TXN03640,2022-01-09,haircare,SKU22,26.49,52,196,5357.99,66,37,34,2,Carrier C,1.66,Supplier 4,Kolkata,35,648,36,46.83,Pending,3.8159,Rail,Route C,1648.66
TXN08947,2022-01-09,skincare,SKU20,101.39,36,129,13366.75,49,3,21,4,Carrier B,5.56,Supplier 1,Chennai,4,777,4,69.31,Pending,2.6544,Air,Route B,1572.27
TXN08915,2022-01-09,cosmetics,SKU59,60.78,62,145,8004.43,66,3,39,2,Carrier C,2.44,Supplier 1,Kolkata,3,900,3,1.74,Pass,0.3055,Air,Route A,163.02
TXN01608,2022-01-09,haircare,SKU22,28.27,78,256,6774.89,78,40,107,2,Carrier C,1.53,Supplier 4,Kolkata,37,366,31,50.92,Pending,2.6148,Rail,Route C,5612.15
TXN09549,2022-01-09,cosmetics,SKU29,63.75,68,101,5847.26,97,6,79,3,Carrier C,3.29,Supplier 1,Kolkata,6,594,5,40.03,Pending,3.2083,Road,Route B,3422.28
TXN06963,2022-01-09,skincare,SKU10,14.85,59,280,4280.13,70,8,60,3,Carrier C,0.81,Supplier 5,Kolkata,9,901,7,93.11,Pass,1.9742,Road,Route B,5635.2
TXN03239,2022-01-09,skincare,SKU56,20.76,51,221,4431.72,53,25,90,1,Carrier A,1.43,Supplier 1,Mumbai,28,828,20,12.47,Pass,1.2214,Air,Route B,1251.0
TXN00455,2022-01-09,cosmetics,SKU50,15.13,44,131,1951.62,47,20,87,2,Carrier A,0.63,Supplier 2,Delhi,19,204,18,48.9,Fail,6.9314,Rail,Route B,4309.11
TXN04558,2022-01-09,cosmetics,SKU89,92.87,50,132,13726.26,56,9,43,2,Carrier C,6.31,Supplier 1,Kolkata,9,516,8,50.5,Pass,1.9938,Rail,Route B,2442.83
TXN04514,2022-01-09,skincare,SKU11,93.71,76,212,21877.3,73,12,60,2,Carrier A,3.84,Supplier 2,Kolkata,13,471,10,28.02,Pass,0.0286,Air,Route A,1911.6
TXN02645,2022-01-09,skincare,SKU11,94.52,46,206,18506.16,60,8,86,3,Carrier C,4.14,Supplier 2,Kolkata,9,480,12,25.24,Pass,0.0176,Air,Route A,2526.68
TXN02387,2022-01-09,cosmetics,SKU59,64.27,85,176,11795.34,84,3,61,2,Carrier C,3.39,Supplier 1,Kolkata,4,296,2,1.8,Pass,0.3305,Air,Route A,316.59
TXN04297,2022-01-09,haircare,SKU54,31.32,61,288,9469.55,79,21,65,3,Carrier C,1.42,Supplier 1,Kolkata,23,540,21,31.66,Pass,1.4153,Road,Route B,2150.2
TXN08538,2022-01-09,skincare,SKU42,44.35,82,207,9138.92,80,13,67,1,Carrier A,2.82,Supplier 5,Bangalore,13,569,12,95.29,Fail,5.4918,Road,Route A,6573.37
TXN07907,2022-01-09,cosmetics,SKU17,86.58,57,175,17339.09,61,12,109,1,Carrier A,4.3,Supplier 1,Chennai,13,189,11,48.65,Pass,0.0951,Air,Route C,5771.55
TXN02735,2022-01-09,skincare,SKU1,16.03,64,231,4222.11,69,38,64,2,Carrier C,0.73,Supplier 3,Mumbai,36,317,29,36.48,Fail,8.6866,Road,Route B,2381.44
TXN01301,2022-01-09,skincare,SKU67,87.14,44,253,21257.02,61,7,99,3,Carrier C,3.74,Supplier 1,Mumbai,7,367,8,7.2,Pass,0.1094,Sea,Route C,1083.06
TXN07790,2022-01-09,cosmetics,SKU7,43.13,58,139,6348.85,81,1,117,1,Carrier A,2.5,Supplier 4,Bangalore,1,428,1,93.16,Pass,0.5169,Road,Route C,11192.22
TXN06296,2022-01-09,skincare,SKU10,15.27,22,218,3420.35,27,6,111,5,Carrier B,0.77,Supplier 5,Kolkata,7,704,8,92.93,Pending,3.63,Road,Route B,10400.7
TXN05478,2022-01-09,skincare,SKU80,90.12,76,139,10897.49,91,4,23,2,Carrier A,6.8,Supplier 3,Chennai,5,315,5,73.33,Pending,3.9376,Sea,Route B,1842.99
TXN00444,2022-01-10,skincare,SKU32,74.54,82,188,12975.96,89,7,112,2,Carrier C,4.42,Supplier 3,Kolkata,7,575,7,26.84,Pending,2.0379,Road,Route A,3501.12
TXN09243,2022-01-10,skincare,SKU80,95.86,82,136,14637.19,76,5,15,2,Carrier C,5.1,Supplier 3,Chennai,6,345,5,79.41,Fail,4.4058,Sea,Route B,1267.65
TXN01081,2022-01-10,cosmetics,SKU7,45.42,68,153,6720.54,71,1,49,3,Carrier C,2.04,Supplier 4,Bangalore,1,183,1,97.94,Pass,0.3514,Road,Route C,4899.02
TXN03631,2022-01-10,skincare,SKU60,16.03,82,64,1127.13,89,27,81,4,Carrier B,0.98,Supplier 4,Mumbai,27,524,28,92.37,Fail,5.3816,Rail,Route A,7561.35
TXN05886,2022-01-10,haircare,SKU22,29.27,71,72,2271.7,68,44,56,3,Carrier C,1.42,Supplier 4,Kolkata,43,416,36,48.97,Fail,5.0973,Rail,Route C,2821.84
TXN07021,2022-01-10,skincare,SKU53,30.18,61,149,4063.87,63,18,53,4,Carrier B,1.18,Supplier 1,Delhi,17,127,12,82.38,Pass,1.3578,Air,Route B,4428.68
TXN03642,2022-01-10,haircare,SKU24,4.18,67,182,811.61,75,3,61,1,Carrier A,0.2,Supplier 2,Bangalore,3,610,2,42.69,Fail,5.0592,Air,Route A,2616.29
